OBJECTID,INCNUM,INCIDENT_TYPE,SERVICE_TYPE,SOURCE,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,ALG_CLASS,ALLEGATION,FINDING,ADDR_TXT,STREET_N,STREET,STREET_T,STREET_G,CITY,CITNUM,RACE,SEX,CIT_AGE,OFFNUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,LINKNUM
2454,4691,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/04,16:00:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,Substandard Performance,Act or ommission contrary to the obectives of the department,Exonerated,Incident Location,3904,Ireland,Drive,,Indianapolis,1344,Unknown,Male,,3035,White,Male,28,4,I142461383
2455,4691,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/04,16:00:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,Neglect of Duty,Failure to take proper law enforcement action,Exonerated,Incident Location,3904,Ireland,Drive,,Indianapolis,1344,Unknown,Male,,3035,White,Male,28,4,I142461383
2456,4691,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/04,16:00:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,Substandard Performance,Act or ommission contrary to the obectives of the department,Exonerated,Incident Location,3904,Ireland,Drive,,Indianapolis,1344,Unknown,Male,,3035,White,Male,28,4,I142461456
2457,4691,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/04,16:00:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,Neglect of Duty,Failure to take proper law enforcement action,Exonerated,Incident Location,3904,Ireland,Drive,,Indianapolis,1344,Unknown,Male,,3035,White,Male,28,4,I142461456
2458,4691,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/04,16:00:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,Substandard Performance,Act or ommission contrary to the obectives of the department,Exonerated,Incident Location,3904,Ireland,Drive,,Indianapolis,1344,Unknown,Male,,3035,White,Male,28,4,DP14-093363
2459,4691,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/04,16:00:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,Neglect of Duty,Failure to take proper law enforcement action,Exonerated,Incident Location,3904,Ireland,Drive,,Indianapolis,1344,Unknown,Male,,3035,White,Male,28,4,DP14-093363
2460,4322,Citizen Complaint,Not Applicable,CPCO (Informal),2014/08/05,18:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE TACTICAL SHIFT,,Vehicle Operation,Aggressive or unsafe driving,Not Sustained,Incident Location,9600,Hague,Road,,Indianapolis,1112,Unknown,Male,,228,White,Male,45,16,14-725
2461,4403,Citizen Complaint,Call For Service,CPCO (Informal),2014/08/19,12:00:00,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,947,Harbison,Avenue,,Indianapolis,1162,White,Male,,1157,White,Male,41,15,14-731
2462,4403,Citizen Complaint,Call For Service,CPCO (Informal),2014/08/19,12:00:00,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,947,Harbison,Avenue,,Indianapolis,1162,White,Male,,1157,White,Male,41,15,I142303095
2463,4548,Citizen Complaint,Traffic Stop,CPCO (Informal),2014/07/27,02:30:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,100,Interstate 465 (W/B-31MM),,E,Indianapolis,1269,White,Male,,2349,White,Male,50,12,14-734
2464,4548,Citizen Complaint,Traffic Stop,CPCO (Informal),2014/07/27,02:30:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Substandard Performance,,Not Sustained,Incident Location,100,Interstate 465 (W/B-31MM),,E,Indianapolis,1269,White,Male,,2349,White,Male,50,12,14-734
2465,4548,Citizen Complaint,Traffic Stop,CPCO (Informal),2014/07/27,02:30:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,100,Interstate 465 (W/B-31MM),,E,Indianapolis,1269,White,Male,,2349,White,Male,50,12,S3762580
2466,4548,Citizen Complaint,Traffic Stop,CPCO (Informal),2014/07/27,02:30:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Substandard Performance,,Not Sustained,Incident Location,100,Interstate 465 (W/B-31MM),,E,Indianapolis,1269,White,Male,,2349,White,Male,50,12,S3762580
2467,4548,Citizen Complaint,Traffic Stop,CPCO (Informal),2014/07/27,02:30:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,100,Interstate 465 (W/B-31MM),,E,Indianapolis,1269,White,Male,,2349,White,Male,50,12,I142080315
2468,4548,Citizen Complaint,Traffic Stop,CPCO (Informal),2014/07/27,02:30:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Substandard Performance,,Not Sustained,Incident Location,100,Interstate 465 (W/B-31MM),,E,Indianapolis,1269,White,Male,,2349,White,Male,50,12,I142080315
2469,4548,Citizen Complaint,Traffic Stop,CPCO (Informal),2014/07/27,02:30:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,100,Interstate 465 (W/B-31MM),,E,Indianapolis,1269,White,Male,,2208,White,Male,37,11,14-734
2470,4548,Citizen Complaint,Traffic Stop,CPCO (Informal),2014/07/27,02:30:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Substandard Performance,,Not Sustained,Incident Location,100,Interstate 465 (W/B-31MM),,E,Indianapolis,1269,White,Male,,2208,White,Male,37,11,14-734
2471,4548,Citizen Complaint,Traffic Stop,CPCO (Informal),2014/07/27,02:30:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,100,Interstate 465 (W/B-31MM),,E,Indianapolis,1269,White,Male,,2208,White,Male,37,11,S3762580
2472,4548,Citizen Complaint,Traffic Stop,CPCO (Informal),2014/07/27,02:30:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Substandard Performance,,Not Sustained,Incident Location,100,Interstate 465 (W/B-31MM),,E,Indianapolis,1269,White,Male,,2208,White,Male,37,11,S3762580
2473,4548,Citizen Complaint,Traffic Stop,CPCO (Informal),2014/07/27,02:30:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,100,Interstate 465 (W/B-31MM),,E,Indianapolis,1269,White,Male,,2208,White,Male,37,11,I142080315
2474,4548,Citizen Complaint,Traffic Stop,CPCO (Informal),2014/07/27,02:30:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Substandard Performance,,Not Sustained,Incident Location,100,Interstate 465 (W/B-31MM),,E,Indianapolis,1269,White,Male,,2208,White,Male,37,11,I142080315
2475,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,14-062
2476,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,14-062
2477,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,14-062
2478,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,14-062
2479,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,DP14-094843
2480,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,DP14-094843
2481,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,DP14-094843
2482,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,DP14-094843
2483,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,I142500952
2484,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,I142500952
2485,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,I142500952
2486,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,I142500952
2487,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,49G16-1409-MC-042721
2488,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,49G16-1409-MC-042721
2489,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,49G16-1409-MC-042721
2490,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,49G16-1409-MC-042721
2491,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,740229
2492,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,740229
2493,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,740229
2494,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,740229
2495,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,E294562
2496,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,E294562
2497,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,E294562
2498,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,E294562
2499,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,397451E
2500,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,397451E
2501,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,397451E
2502,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,397451E
2503,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,CO2015-016
2504,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,CO2015-016
2505,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Not Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,CO2015-016
2506,4831,Citizen Complaint,Arrest,CPCO (Formal),2014/09/07,11:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,8622,Bluff Point,Way,,Camby,1446,White,Male,36,1465,White,Male,43,13,CO2015-016
2507,4833,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/18,12:50:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,9021,38th,Street,E,Indianapolis,1449,Black,Female,,2080,White,Male,38,10,14-749
2508,4833,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/18,12:50:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Substandard Performance,,Not Sustained,Incident Location,9021,38th,Street,E,Indianapolis,1449,Black,Female,,2080,White,Male,38,10,14-749
2509,4833,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/18,12:50:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,9021,38th,Street,E,Indianapolis,1449,Black,Female,,2080,White,Male,38,10,I142611446
2510,4833,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/18,12:50:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Substandard Performance,,Not Sustained,Incident Location,9021,38th,Street,E,Indianapolis,1449,Black,Female,,2080,White,Male,38,10,I142611446
2511,4833,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/18,12:50:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,9021,38th,Street,E,Indianapolis,1449,Black,Female,,2080,White,Male,38,10,DP14-099008
2512,4833,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/18,12:50:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Substandard Performance,,Not Sustained,Incident Location,9021,38th,Street,E,Indianapolis,1449,Black,Female,,2080,White,Male,38,10,DP14-099008
2513,4833,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/18,12:50:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,9021,38th,Street,E,Indianapolis,1449,Black,Female,,2080,White,Male,38,10,I142611560
2514,4833,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/18,12:50:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Substandard Performance,,Not Sustained,Incident Location,9021,38th,Street,E,Indianapolis,1449,Black,Female,,2080,White,Male,38,10,I142611560
2515,4833,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/18,12:50:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,9021,38th,Street,E,Indianapolis,1449,Black,Female,,2080,White,Male,38,10,DP14-099013
2516,4833,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/18,12:50:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Substandard Performance,,Not Sustained,Incident Location,9021,38th,Street,E,Indianapolis,1449,Black,Female,,2080,White,Male,38,10,DP14-099013
2517,4833,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/18,12:50:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,9021,38th,Street,E,Indianapolis,1449,Black,Female,,2080,White,Male,38,10,I142611245
2518,4833,Citizen Complaint,Call For Service,CPCO (Informal),2014/09/18,12:50:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Substandard Performance,,Not Sustained,Incident Location,9021,38th,Street,E,Indianapolis,1449,Black,Female,,2080,White,Male,38,10,I142611245
2519,4550,Citizen Complaint,Not Applicable,CPCO (Informal),2014/08/28,10:15:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,Vehicle Operation,Speeding,Not Sustained,Incident Location,2400,Madison,Av,,Indianapolis,1271,Unknown,Male,,3056,Black,Male,32,2,14-735
2520,4936,Citizen Complaint,Not Applicable,CPCO (Informal),2014/08/22,08:25:00,ADMINISTRATION DIVISION,TRAINING BUREAU,FIREARMS TRAINING SECTION,,Vehicle Operation,Speeding,Sustained,Incident Location,700,Interstate 65 (S/B),,E,Indianapolis,1272,Unknown,Male,,539,Black,Male,47,23,14-752
2521,4936,Citizen Complaint,Not Applicable,CPCO (Informal),2014/08/22,08:25:00,ADMINISTRATION DIVISION,TRAINING BUREAU,FIREARMS TRAINING SECTION,,Vehicle Operation,Speeding,Sustained,Incident Location,700,Interstate 65 (S/B),,E,Indianapolis,1272,Unknown,Male,,539,Black,Male,47,23,14-752
2522,4552,Citizen Complaint,Call For Service,CPCO (Informal),2014/08/28,11:00:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY TACTICAL SHIFT,,Substandard Performance,Failure to properly investigate crash,Exonerated,Incident Location,6100,Southeastern ,Avenue,,Indianapolis,1273,Black,Male,,1579,White,Male,42,14,14-737
2523,4552,Citizen Complaint,Call For Service,CPCO (Informal),2014/08/28,11:00:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY TACTICAL SHIFT,,Substandard Performance,Failure to properly investigate crash,Exonerated,Incident Location,6100,Southeastern ,Avenue,,Indianapolis,1273,Black,Male,,1579,White,Male,42,14,I142401101
2524,4552,Citizen Complaint,Call For Service,CPCO (Informal),2014/08/28,11:00:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY TACTICAL SHIFT,,Substandard Performance,Failure to properly investigate crash,Exonerated,Incident Location,6100,Southeastern ,Avenue,,Indianapolis,1273,Black,Male,,1579,White,Male,42,14,902291784
2525,4951,Citizen Complaint,Not Applicable,CPCO (Formal),2014/09/24,18:00:00,OTHER ASSIGNMENTS,TEMPORARY ASSIGNMENTS,MANPOWER POOL,LIMITED DUTY,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,5826,Emmert,Way,,Indianapolis,1507,White,Female,39,1962,White,Male,40,11,14-064
2526,4951,Citizen Complaint,Not Applicable,CPCO (Formal),2014/09/24,18:00:00,OTHER ASSIGNMENTS,TEMPORARY ASSIGNMENTS,MANPOWER POOL,LIMITED DUTY,Violation of Any Rule,"Failure to conform to the department's rules, regulations, orders, policies, and SOPs while off duty",Sustained,Incident Location,5826,Emmert,Way,,Indianapolis,1507,White,Female,39,1962,White,Male,40,11,14-064
2527,4951,Citizen Complaint,Not Applicable,CPCO (Formal),2014/09/24,18:00:00,OTHER ASSIGNMENTS,TEMPORARY ASSIGNMENTS,MANPOWER POOL,LIMITED DUTY,Citizen Interaction,"Rude, discourteous, or insulting language",Sustained,Incident Location,5826,Emmert,Way,,Indianapolis,1507,White,Female,39,1962,White,Male,40,11,14-064
2528,4951,Citizen Complaint,Not Applicable,CPCO (Formal),2014/09/24,18:00:00,OTHER ASSIGNMENTS,TEMPORARY ASSIGNMENTS,MANPOWER POOL,LIMITED DUTY,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,5826,Emmert,Way,,Indianapolis,1507,White,Female,39,1962,White,Male,40,11,14-064
2529,4572,Citizen Complaint,Not Applicable,CPCO (Informal),2014/09/01,12:07:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,,Vehicle Operation,Texting while driving,Not Sustained,Incident Location,6200,Binford,Blvd,,Indianapolis,1274,Unknown,Female,,1366,White,Male,35,12,14-738
2530,4572,Citizen Complaint,Not Applicable,CPCO (Informal),2014/09/01,12:07:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,,Vehicle Operation,Speeding,Not Sustained,Incident Location,6200,Binford,Blvd,,Indianapolis,1274,Unknown,Female,,1366,White,Male,35,12,14-738
2531,4962,Citizen Complaint,Investigation,CPCO (Informal),2014/07/22,02:12:00,CRIMINAL INVESTIGATION DIVISION,ORGANIZED CRIME,FRAUD SECTION,FINANCIAL CRIMES UNIT,Substandard Performance,Submission of an inaccurate or incomplete report,Unfounded,Incident Location,2360,Raymond,Street,E,Indianapolis,1518,White,Male,,2,Black,Male,36,13,14-753
2532,4962,Citizen Complaint,Investigation,CPCO (Informal),2014/07/22,02:12:00,CRIMINAL INVESTIGATION DIVISION,ORGANIZED CRIME,FRAUD SECTION,FINANCIAL CRIMES UNIT,Substandard Performance,Submission of an inaccurate or incomplete report,Unfounded,Incident Location,2360,Raymond,Street,E,Indianapolis,1518,White,Male,,2,Black,Male,36,13,DP14-077251
